Date,Close,Volatility,MA_25,MA_100,Decline_Since_Last_Peak,Days_Since_Last_Peak,One_Week_Growth,RSI,Price_to_MA25,Price_to_MA100,Target
2024-05-02,22.549999237060547,0.02721237879369316,22.20239974975586,23.175624907016754,-0.8775587801419498,56,0.03869185573520695,49.01638662517193,1.0156559422054596,0.9730050139978409,0
2024-05-03,23.329999923706055,0.03109027071841246,22.21519973754883,23.177999907273513,-0.8733235589093905,57,0.03596800397324773,61.7021289879503,1.050181866439533,1.0065579436120733,0
2024-05-06,25.209999084472656,0.05437007837347701,22.30919967651367,23.20878777359471,-0.8631156033278196,60,0.10424875903285802,70.89084197363934,1.1300270493796711,1.0862264470854777,0
2024-05-07,21.399999618530273,0.061391559596231896,22.256399688720702,23.18179093545942,-0.8838030090063891,61,-0.02594445665174616,50.40142801042934,0.9615211767326212,0.9231383234414526,0
2024-05-08,21.559999465942383,0.031047269632190178,22.21079963684082,23.1579410609077,-0.8829342472699344,62,-0.025316516819373858,51.92135995508271,0.9706989310813032,0.9309981146094737,0
2024-05-09,21.139999389648438,0.029781265540475953,22.157199630737306,23.128695529440176,-0.8852147494172422,63,-0.06252771153512049,53.059361398708546,0.9540916605870279,0.9140160698963607,0
2024-05-10,20.600000381469727,0.0409027184066582,22.062799682617186,23.092571313040597,-0.8881468176886625,64,-0.11701669743523335,48.31665603364432,0.9336983826989116,0.892061784814613,0
2024-05-13,20.940000534057617,0.028640783575839743,21.980399703979494,23.06225341474506,-0.8863006964095821,67,-0.1693771799081507,46.71670266951922,0.9526669585661122,0.9079772109636709,0
2024-05-14,21.440000534057617,0.05441524334763253,21.9255997467041,23.039722124735516,-0.8835858133940471,68,0.0018692016934760414,49.32493413122663,0.977852409135605,0.9305668018903565,0
2024-05-15,21.670000076293945,0.028762080679532245,21.8955997467041,23.02095880900344,-0.8823369696924506,69,0.0051020692521503985,49.821751289542846,0.9896965749730553,0.9413161396135622,0
2024-05-16,21.649999618530273,0.015409429408842113,21.847999725341797,23.002432333456504,-0.8824455674986216,70,0.02412489326426215,45.8293337829532,0.9909373805702744,0.9412047954181285,0
2024-05-17,21.760000228881836,0.027961484869988097,21.811599731445312,22.985866572062175,-0.8818482899211376,71,0.05631067116171318,44.77028473751861,0.9976343091199731,0.946668691417956,0
2024-05-20,21.6200008392334,0.025264176979520315,21.800399780273438,22.967894654524954,-0.8826084538514213,74,0.03247374822506832,48.159839453764135,0.9917249709703362,0.941314002194537,0
2024-05-21,21.239999771118164,0.01546391384003977,21.7747998046875,22.945454461233957,-0.8846717707428438,75,-0.009328393561453097,45.4825397273,0.9754394971082945,0.9256735274955161,0
2024-05-22,21.170000076293945,0.016015080542581852,21.769199829101563,22.922692225529598,-0.8850518527079856,76,-0.023073373245945605,42.64392705631214,0.972474883895062,0.9235389921920413,0
2024-05-23,20.719999313354492,0.041608289966935726,21.752799835205078,22.894810036767886,-0.8874952515645499,77,-0.04295613494513839,35.580105909493454,0.9525210304110331,0.9050085709415907,0
2024-05-24,21.010000228881836,0.024131274930966774,21.774399871826173,22.87124991416931,-0.8859206144444403,78,-0.034466911402166844,21.84987736465817,0.9648945712651584,0.9186205523409376,0
2024-05-28,21.049999237060547,0.023266846322127284,21.777599868774413,22.84876533790871,-0.885703429188555,82,-0.026364550418447763,45.25744809195383,0.9665894939709527,0.9212751291263951,0
2024-05-29,20.940000534057617,0.01685124572729121,21.74959991455078,22.82548771834955,-0.8863006964095821,83,-0.014124258017576885,41.48352972739581,0.9627763552583084,0.9173955357468144,0
2024-05-30,21.729999542236328,0.04417286637114117,21.75519989013672,22.812289065625293,-0.8820111866303942,84,0.02645250183864989,57.356613460654856,0.998841640250255,0.9525567328962259,0
2024-05-31,21.68000030517578,0.040844481854191386,21.753999938964842,22.798809437524703,-0.882282670789365,85,0.04633209573528063,65.34091432479018,0.9965983435691513,0.9509268615356964,0
2024-06-03,21.31999969482422,0.036175194800058014,21.705999908447264,22.781411675845874,-0.8842373898746164,88,0.01475485304927493,55.36722128860295,0.9822168886367301,0.9358506838023947,0
2024-06-04,22.100000381469727,0.057957214136453085,21.676799926757813,22.773488288701966,-0.8800021686420573,89,0.04988129132853136,58.638742148413705,1.0195231978955306,0.9704266689979875,0
2024-06-05,22.959999084472656,0.0338078400515052,21.71639991760254,22.775632090952204,-0.8753325768977275,90,0.09646602191483411,64.49437460593953,1.057265438635715,1.0080949232400753,0
2024-06-06,23.790000915527344,0.04221067188971441,21.783199920654297,22.787159009413287,-0.8708258611497407,91,0.09479988111766935,70.34221676689916,1.092126088094626,1.0440090801007613,0
2024-06-07,23.309999465942383,0.021944932612075405,21.81359992980957,22.793033621284398,-0.8734321567155616,92,0.07518446207666618,63.7655323534374,1.0685993848309234,1.022680870534725,0
2024-06-10,23.1299991607666,0.02197802197802198,21.80559989929199,22.7967776828342,-0.8744095162581873,95,0.08489678667217748,63.31567718926207,1.0607366579039916,1.0146170429245935,0
2024-06-11,23.850000381469727,0.04596710311535547,21.751199951171873,22.808351558643384,-0.8705000780876844,96,0.0791855189951638,71.71380767585367,1.0964912480695015,1.0456696232583105,0
2024-06-12,23.770000457763672,0.031404967145526756,21.845999984741212,22.818804264068604,-0.8709344589559117,97,0.035278806863664025,71.59467906970849,1.0880710644679263,1.041684751869004,0
2024-06-13,23.270000457763672,0.04150942370161742,21.914400024414064,22.82365583604382,-0.8736493419714468,98,-0.021857941897945654,71.00494622189528,1.0618588887598739,1.0195562281926356,0
2024-06-14,23.56999969482422,0.03801292333768384,22.011600036621093,22.831595664328717,-0.8720204163047085,99,0.01115402122860254,71.05262745120183,1.0707990175911968,1.0323413238983186,0
2024-06-17,25.020000457763672,0.06859815722648258,22.188400039672853,22.85463150425961,-0.8641472514170739,102,0.08171212129583272,76.50200488016301,1.127616250519547,1.094745301542074,0
2024-06-18,25.81999969482422,0.04751489912324908,22.383600006103517,22.88552075624466,-0.8598034427348006,103,0.0825995506014785,79.82883765786045,1.1535231011894276,1.1282242589030378,0
2024-06-20,25.559999465942383,0.05351735928885619,22.548399963378905,22.913092701705462,-0.8612151831456536,105,0.0753049631344902,75.03266800555002,1.1335615612395846,1.1155194018850152,0
2024-06-21,23.84000015258789,0.10360176288112624,22.635199966430665,22.92255094100018,-0.8705543769907699,106,0.024495044418189726,61.587977650466634,1.0532268408471768,1.0400238705521525,0
2024-06-24,24.15999984741211,0.04637371452313315,22.735599975585938,22.93505042490333,-0.8688168535178605,109,0.025031826908230803,65.30172068284706,1.062650639233437,1.0534094933220075,0
2024-06-25,24.559999465942383,0.029387379509801925,22.84759994506836,22.951299915313722,-0.8666449491767239,110,-0.018385331071348987,63.82021720625336,1.0749487703299725,1.0700918708990115,0
2024-06-26,24.100000381469727,0.025950153114033182,22.946799926757812,23.02899991989136,-0.8691426365799169,111,-0.06661500130456144,56.70588847757487,1.0502553932745624,1.0465065988668178,0
2024-06-27,25.219999313354492,0.05601661245232717,23.105999908447266,23.110999908447265,-0.863061304424734,112,-0.013302040676523741,58.13423526269228,1.0914913621260067,1.0912552210316253,0
2024-06-28,25.329999923706055,0.021360719680042276,23.27239990234375,23.19709991455078,-0.8624640268472501,113,0.062499989999220684,61.995254733034564,1.088413744607194,1.0919468389157292,0
2024-07-01,25.8799991607666,0.03445840954369004,23.478799896240233,23.237199897766114,-0.8594776596727443,116,0.0711920250090039,65.64278104107854,1.1022709540154514,1.1137313994210873,0
2024-07-02,25.829999923706055,0.026315801128494916,23.671599884033203,23.259499893188476,-0.8597491438317151,117,0.051710117482893114,62.1921227393677,1.0911809953804061,1.1105139853531567,0
2024-07-03,25.850000381469727,0.01964561813821019,23.86359992980957,23.272899894714357,-0.859640546025544,118,0.07261410673443636,62.90323229507409,1.0832397650607113,1.1107339651875816,0
2024-07-05,27.229999542236328,0.04903844686654898,24.11519989013672,23.301399898529052,-0.8521474734595081,0,0.07969866310890428,72.14765873886206,1.1291633354187367,1.1685992970729315,0
2024-07-08,27.700000762939453,0.041031145575565836,24.353999938964844,23.327899913787842,-0.8495954767967727,0,0.09356497616943704,72.66741229857156,1.1373901959579635,1.187419393314848,0
2024-07-09,27.389999389648438,0.041174350374681666,24.58239990234375,23.361699905395508,-0.8512787117230535,1,0.05834622402812739,64.86825409816842,1.1142117734012214,1.1724317793895886,0
2024-07-10,28.420000076293945,0.03999994451349432,24.86639991760254,23.39399990081787,-0.8456860489827267,0,0.10027100891358742,65.85366307519072,1.142907705597378,1.2148414207396985,0
2024-07-11,27.639999389648438,0.0593190785410557,25.087999877929686,23.416299896240233,-0.8499212702152859,1,0.06924560857886286,61.92660600626757,1.101721919807716,1.180374333781332,0
2024-07-12,28.06999969482422,0.031112682416395716,25.29239990234375,23.4525998878479,-0.8475864691648926,2,0.03084833517110308,78.46567542729228,1.1098195427561257,1.196882214724895,0
2024-07-15,28.670000076293945,0.04926107018902013,25.487599868774414,23.505299892425537,-0.8443286074749591,0,0.03501802478837046,79.24772794235702,1.1248607253685892,1.2197249219327215,0
2024-07-16,28.670000076293945,0.048616068999182104,25.701999893188475,23.564599895477294,-0.8443286074749591,1,0.04673241019235874,78.11217399608512,1.1154774023593412,1.21665550034637,0
2024-07-17,28.219999313354492,0.045357159205845425,25.905599899291992,23.610899887084962,-0.8467720063315234,2,-0.007037324503960218,78.21915896934239,1.0893397343840607,1.1952106632238395,0
2024-07-18,28.639999389648438,0.05911331107198429,26.097199859619142,23.6675998878479,-0.8444915041842157,3,0.03617945087128027,75.90907501452908,1.097435722748318,1.2100931030338067,0
2024-07-19,28.579999923706055,0.046979863963122884,26.289599838256837,23.717799892425536,-0.844817287246272,4,0.018168871906894646,74.80914874633382,1.0871219075048912,1.2050021525324235,0
2024-07-22,28.459999084472656,0.04424468599358688,26.497199783325197,23.75709987640381,-0.8454688637268414,7,-0.007324764257497507,71.07841472023237,1.0740757256313045,1.197957630878165,0
2024-07-23,28.809999465942383,0.031051554812178656,26.706799774169923,23.80099987030029,-0.8435684435446755,0,0.004883131819877429,73.2086982149372,1.0787514681488202,1.2104533264542594,0
