Date,Portfolio_Value,Cash,Position_Value
2024-02-14,100666.17079760815,94678.51731026257,5987.653487345581
2024-02-15,100959.8070406356,94678.51731026257,6281.289730373025
2024-02-16,101002.6504392081,94678.51731026257,6324.13312894553
2024-02-20,100902.33387767659,94678.51731026257,6223.8165674140155
2024-02-21,100997.42508234776,94678.51731026257,6318.9077720852
2024-02-22,101003.69509897269,94678.51731026257,6325.177788710123
2024-02-23,100950.40139828701,94678.51731026257,6271.8840880244325
2024-02-26,100997.42508234776,94678.51731026257,6318.9077720852
2024-02-27,101011.00977536221,94678.51731026257,6332.49246509964
2024-02-28,100975.48064157175,94678.51731026257,6296.963331309179
2024-02-29,101012.05484673427,94678.51731026257,6333.537536471706
2024-03-01,101090.42820231219,94678.51731026257,6411.9108920496155
2024-03-04,101019.36911151632,94678.51731026257,6340.85180125375
2024-03-05,101008.92045583302,94678.51731026257,6330.403145570453
2024-03-06,101062.2129216963,94678.51731026257,6383.695611433726
2024-03-07,101081.09047519651,94678.51731026257,6402.573164933946
2024-03-08,101054.87190242855,94678.51731026257,6376.354592165986
2024-03-11,101130.38211642943,94678.51731026257,6451.864806166861
2024-03-12,101090.52863453541,94678.51731026257,6412.011324272847
2024-03-13,101187.01354210767,94678.51731026257,6508.496231845101
2024-03-14,101241.54823932222,94678.51731026257,6563.030929059653
2024-03-15,101248.88967019743,94678.51731026257,6570.372359934866
2024-03-18,101306.57069492993,94678.51731026257,6628.053384667367
2024-03-19,101389.04429063323,101389.04429063323,0.0
2024-03-20,101389.04429063323,101389.04429063323,0.0
2024-03-21,101389.04429063323,101389.04429063323,0.0
2024-03-22,101389.04429063323,101389.04429063323,0.0
2024-03-25,101389.04429063323,101389.04429063323,0.0
2024-03-26,101389.04429063323,101389.04429063323,0.0
2024-03-27,101389.04429063323,101389.04429063323,0.0
2024-03-28,101389.04429063323,101389.04429063323,0.0
2024-04-01,101389.04429063323,101389.04429063323,0.0
2024-04-02,101389.04429063323,101389.04429063323,0.0
2024-04-03,101389.04429063323,101389.04429063323,0.0
2024-04-04,101389.04429063323,101389.04429063323,0.0
2024-04-05,101389.04429063323,101389.04429063323,0.0
2024-04-08,101389.04429063323,101389.04429063323,0.0
2024-04-09,101389.04429063323,101389.04429063323,0.0
2024-04-10,101389.04429063323,101389.04429063323,0.0
2024-04-11,101389.04429063323,101389.04429063323,0.0
2024-04-12,101389.04429063323,101389.04429063323,0.0
2024-04-15,101389.04429063323,101389.04429063323,0.0
2024-04-16,101389.04429063323,101389.04429063323,0.0
2024-04-17,101389.04429063323,101389.04429063323,0.0
2024-04-18,101389.04429063323,101389.04429063323,0.0
2024-04-19,101389.04429063323,101389.04429063323,0.0
2024-04-22,101389.04429063323,101389.04429063323,0.0
2024-04-23,101389.04429063323,101389.04429063323,0.0
2024-04-24,101389.04429063323,101389.04429063323,0.0
2024-04-25,101389.04429063323,101389.04429063323,0.0
2024-04-26,101389.04429063323,101389.04429063323,0.0
2024-04-29,101389.04429063323,101389.04429063323,0.0
2024-04-30,101389.04429063323,101389.04429063323,0.0
2024-05-01,101389.04429063323,101389.04429063323,0.0
2024-05-02,101389.04429063323,101389.04429063323,0.0
2024-05-03,101389.04429063323,101389.04429063323,0.0
2024-05-06,101389.04429063323,101389.04429063323,0.0
2024-05-07,101389.04429063323,101389.04429063323,0.0
2024-05-08,101389.04429063323,101389.04429063323,0.0
2024-05-09,101389.04429063323,101389.04429063323,0.0
2024-05-10,101389.04429063323,101389.04429063323,0.0
2024-05-13,101389.04429063323,101389.04429063323,0.0
2024-05-14,101389.04429063323,101389.04429063323,0.0
2024-05-15,101389.04429063323,101389.04429063323,0.0
2024-05-16,101389.04429063323,101389.04429063323,0.0
2024-05-17,101389.04429063323,101389.04429063323,0.0
2024-05-20,101389.04429063323,101389.04429063323,0.0
2024-05-21,101389.04429063323,101389.04429063323,0.0
2024-05-22,101389.04429063323,101389.04429063323,0.0
2024-05-23,101389.04429063323,101389.04429063323,0.0
2024-05-24,101389.04429063323,101389.04429063323,0.0
2024-05-28,101389.04429063323,101389.04429063323,0.0
2024-05-29,101389.04429063323,101389.04429063323,0.0
2024-05-30,101389.04429063323,101389.04429063323,0.0
2024-05-31,101389.04429063323,101389.04429063323,0.0
2024-06-03,101389.04429063323,101389.04429063323,0.0
2024-06-04,101389.04429063323,101389.04429063323,0.0
2024-06-05,101389.04429063323,101389.04429063323,0.0
2024-06-06,101389.04429063323,101389.04429063323,0.0
2024-06-07,101389.04429063323,101389.04429063323,0.0
2024-06-10,101389.04429063323,101389.04429063323,0.0
2024-06-11,101389.04429063323,101389.04429063323,0.0
2024-06-12,101389.04429063323,101389.04429063323,0.0
2024-06-13,101389.04429063323,101389.04429063323,0.0
2024-06-14,101389.04429063323,101389.04429063323,0.0
2024-06-17,101389.04429063323,101389.04429063323,0.0
2024-06-18,101389.04429063323,101389.04429063323,0.0
2024-06-20,101389.04429063323,101389.04429063323,0.0
2024-06-21,101389.04429063323,101389.04429063323,0.0
2024-06-24,101389.04429063323,101389.04429063323,0.0
2024-06-25,101389.04429063323,101389.04429063323,0.0
2024-06-26,101389.04429063323,101389.04429063323,0.0
2024-06-27,101389.04429063323,101389.04429063323,0.0
2024-06-28,101389.04429063323,101389.04429063323,0.0
2024-07-01,101389.04429063323,101389.04429063323,0.0
2024-07-02,101389.04429063323,101389.04429063323,0.0
2024-07-03,101389.04429063323,101389.04429063323,0.0
2024-07-05,101389.04429063323,101389.04429063323,0.0
2024-07-08,101389.04429063323,101389.04429063323,0.0
2024-07-09,101389.04429063323,101389.04429063323,0.0
2024-07-10,101389.04429063323,101389.04429063323,0.0
2024-07-11,101389.04429063323,101389.04429063323,0.0
2024-07-12,101389.04429063323,101389.04429063323,0.0
2024-07-15,101389.04429063323,101389.04429063323,0.0
2024-07-16,101389.04429063323,101389.04429063323,0.0
2024-07-17,101389.04429063323,101389.04429063323,0.0
2024-07-18,101389.04429063323,101389.04429063323,0.0
2024-07-19,101389.04429063323,101389.04429063323,0.0
2024-07-22,101389.04429063323,101389.04429063323,0.0
2024-07-23,101389.04429063323,101389.04429063323,0.0
2024-07-24,101389.04429063323,101389.04429063323,0.0
2024-07-25,101389.04429063323,101389.04429063323,0.0
2024-07-26,101389.04429063323,101389.04429063323,0.0
2024-07-29,101389.04429063323,101389.04429063323,0.0
2024-07-30,101389.04429063323,101389.04429063323,0.0
2024-07-31,101389.04429063323,101389.04429063323,0.0
2024-08-01,101389.04429063323,101389.04429063323,0.0
2024-08-02,101389.04429063323,101389.04429063323,0.0
2024-08-05,101389.04429063323,101389.04429063323,0.0
2024-08-06,101385.00565793722,98346.37296191424,3038.632696022974
2024-08-07,101379.88420297486,95303.85528144895,6076.028921525915
2024-08-08,101641.94134351131,95303.85528144895,6338.086062062361
2024-08-09,101628.94661008514,95303.85528144895,6325.091328636189
2024-08-12,101690.67042941888,95303.85528144895,6386.8151479699245
2024-08-13,101526.07315442931,95303.85528144895,6222.217872980359
2024-08-14,101469.76334863747,95303.85528144895,6165.908067188512
2024-08-15,101563.97378982016,95303.85528144895,6260.118508371208
2024-08-16,101542.31688878674,95303.85528144895,6238.4616073377765
