buy_size_pct,sell_base_pct,sell_formula,max_sell_pct,total_return,final_capital,sharpe_ratio,max_drawdown,num_trades,buy_trades,sell_trades,position_pct
0.04,150.0,cap,1.0,0.6248735149817728,162487.35149817728,1.2908670385394958,0.2270322810177412,61,35,26,47.96039770971226
0.04,150.0,div,1.0,0.6248735149817728,162487.35149817728,1.2908670385394958,0.2270322810177412,61,35,26,47.96039770971226
0.04,100.0,cap,0.75,0.6203951726381775,162039.51726381775,1.1580764386601625,0.2737187945465459,60,34,26,64.31648159289928
0.04,100.0,div,0.75,0.6203951726381775,162039.51726381775,1.1580764386601625,0.2737187945465459,60,34,26,64.31648159289928
0.05,100.0,div,1.0,0.6199625480604655,161996.25480604655,1.0982655145304108,0.30224710594885,56,30,26,63.469425852166786
0.05,100.0,cap,1.0,0.6199625480604655,161996.25480604655,1.0982655145304108,0.30224710594885,56,30,26,63.469425852166786
0.05,100.0,div,0.75,0.6178466512524249,161784.6651252425,1.0780258765040718,0.31008782429901294,55,29,26,64.31679982055569
0.05,100.0,cap,0.75,0.6178466512524249,161784.6651252425,1.0780258765040718,0.31008782429901294,55,29,26,64.31679982055569
0.05,75.0,cap,0.5,0.6007753169384439,160077.5316938444,1.0276727380986008,0.32802796249410276,53,27,26,71.94571397116208
0.05,75.0,div,0.5,0.6007753169384439,160077.5316938444,1.0276727380986008,0.32802796249410276,53,27,26,71.94571397116208
0.04,75.0,cap,0.5,0.5937282977727046,159372.82977727047,1.086747880587687,0.2958409563258574,58,32,26,71.94546941236588
0.04,75.0,div,0.5,0.5937282977727046,159372.82977727047,1.086747880587687,0.2958409563258574,58,32,26,71.94546941236588
0.05,75.0,div,0.75,0.5928149547157966,159281.49547157966,1.0237244296724393,0.32628535531101416,53,27,26,71.94556173324258
0.05,75.0,div,1.0,0.5928149547157966,159281.49547157966,1.0237244296724393,0.32628535531101416,53,27,26,71.94556173324258
0.05,75.0,cap,0.75,0.5928149547157966,159281.49547157966,1.0237244296724393,0.32628535531101416,53,27,26,71.94556173324258
0.05,75.0,cap,1.0,0.5928149547157966,159281.49547157966,1.0237244296724393,0.32628535531101416,53,27,26,71.94556173324258
0.04,75.0,cap,1.0,0.5883990203211963,158839.90203211963,1.0856194758079358,0.2937779378225065,58,32,26,71.94512982347227
0.04,75.0,cap,0.75,0.5883990203211963,158839.90203211963,1.0856194758079358,0.2937779378225065,58,32,26,71.94512982347227
0.04,75.0,div,1.0,0.5883990203211963,158839.90203211963,1.0856194758079358,0.2937779378225065,58,32,26,71.94512982347227
0.04,75.0,div,0.75,0.5883990203211963,158839.90203211963,1.0856194758079358,0.2937779378225065,58,32,26,71.94512982347227
0.05,50.0,div,0.75,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.05,50.0,div,0.5,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.05,50.0,div,1.0,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.05,50.0,cap,0.5,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.05,50.0,cap,0.75,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.05,50.0,cap,1.0,0.575126940510732,157512.6940510732,0.9734703063282164,0.3445859459648149,51,25,26,80.38715433318472
0.04,50.0,div,0.75,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.04,50.0,cap,1.0,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.04,50.0,cap,0.75,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.04,50.0,cap,0.5,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.04,50.0,div,1.0,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.04,50.0,div,0.5,0.5712802145933645,157128.02145933645,1.0292594417771244,0.3115292924647479,56,30,26,80.38678029728696
0.03,50.0,div,0.5,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,50.0,div,0.75,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,50.0,div,1.0,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,50.0,cap,0.5,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,50.0,cap,0.75,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,50.0,cap,1.0,0.537293044371526,153729.3044371526,1.1283951354207598,0.25125834532082086,61,35,26,75.30756979797276
0.03,75.0,div,0.5,0.5208806870186183,152088.06870186183,1.1683797778280802,0.2314253645461732,61,35,26,64.59077245243381
0.03,75.0,cap,0.5,0.5208806870186183,152088.06870186183,1.1683797778280802,0.2314253645461732,61,35,26,64.59077245243381
0.03,75.0,div,0.75,0.5129716637179988,151297.1663717999,1.1651125221315637,0.22929272192012964,61,35,26,64.29147129445826
0.03,75.0,div,1.0,0.5129716637179988,151297.1663717999,1.1651125221315637,0.22929272192012964,61,35,26,64.29147129445826
0.03,75.0,cap,0.75,0.5129716637179988,151297.1663717999,1.1651125221315637,0.22929272192012964,61,35,26,64.29147129445826
0.03,75.0,cap,1.0,0.5129716637179988,151297.1663717999,1.1651125221315637,0.22929272192012964,61,35,26,64.29147129445826
0.03,100.0,cap,0.5,0.5063803148021401,150638.031480214,1.2091104599250526,0.2137829992913968,61,35,26,55.47436074153208
0.03,100.0,div,0.5,0.5063803148021401,150638.031480214,1.2091104599250526,0.2137829992913968,61,35,26,55.47436074153208
0.03,100.0,div,0.75,0.4988521230975716,149885.21230975716,1.2045767764184645,0.21212785608300566,61,35,26,55.26484099859603
0.03,100.0,cap,0.75,0.4988521230975716,149885.21230975716,1.2045767764184645,0.21212785608300566,61,35,26,55.26484099859603
0.03,125.0,div,0.5,0.4935226892240529,149352.2689224053,1.2501006334985667,0.19810209246076907,61,35,26,47.711951319294286
0.03,125.0,cap,0.5,0.4935226892240529,149352.2689224053,1.2501006334985667,0.19810209246076907,61,35,26,47.711951319294286
0.03,100.0,cap,1.0,0.4870032200983708,148700.32200983708,1.2203851719032839,0.20401425758505362,61,35,26,53.51502494599719
0.03,100.0,div,1.0,0.4870032200983708,148700.32200983708,1.2203851719032839,0.20401425758505362,61,35,26,53.51502494599719
0.03,125.0,div,0.75,0.4863146590566623,148631.46590566623,1.244231172105674,0.1968413147299099,61,35,26,47.56837019649179
0.03,125.0,cap,0.75,0.4863146590566623,148631.46590566623,1.244231172105674,0.1968413147299099,61,35,26,47.56837019649179
0.03,150.0,cap,0.5,0.48207966396895413,148207.9663968954,1.2908999016833744,0.18417397141467293,61,35,26,41.09399631491209
0.03,150.0,div,0.5,0.48207966396895413,148207.9663968954,1.2908999016833744,0.18417397141467293,61,35,26,41.09399631491209
0.03,150.0,div,0.75,0.47514134560458127,147514.13456045813,1.2836488416861616,0.1832360579655582,61,35,26,40.998131134027076
0.03,150.0,cap,0.75,0.47514134560458127,147514.13456045813,1.2836488416861616,0.1832360579655582,61,35,26,40.998131134027076
0.03,125.0,cap,1.0,0.47431645220317764,147431.64522031776,1.2637447812571874,0.18850411631995048,61,35,26,45.83553594073847
0.03,125.0,div,1.0,0.47431645220317764,147431.64522031776,1.2637447812571874,0.18850411631995048,61,35,26,45.83553594073847
0.03,150.0,div,1.0,0.46308818380360056,146308.81838036006,1.3065157410533534,0.17486434508715434,61,35,26,39.32613848551504
0.03,150.0,cap,1.0,0.46308818380360056,146308.81838036006,1.3065157410533534,0.17486434508715434,61,35,26,39.32613848551504
0.02,50.0,cap,1.0,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
0.02,50.0,div,1.0,0.35676399940952225,135676.39994095222,1.1426143849833297,0.17428215257829652,61,35,26,56.46911435274077
